0;160
1;167
2;173
3;180
4;192
5;161
6;188
7;184
8;162
9;175
10;178
11;186
12;164
13;180
14;171
15;170
16;181
17;177
18;187
19;195
20;203
21;183
22;167
23;165
24;172
25;197
26;176
27;172
28;215
29;169
30;206
31;185
32;196
33;197
34;203
35;162
36;194
37;171
38;167
39;221
40;185
41;176
42;187
43;203
44;185
45;193
46;171
47;191
48;173
49;173
50;170
51;169
52;180
53;199
54;177
55;185
56;194
57;212
58;200
59;203
60;200
61;183
62;178
63;220
64;182
65;203
66;214
67;187
68;218
69;186
70;170
71;215
72;199
73;198
74;182
75;177
76;164
77;186
78;167
79;194
80;177
81;176
82;191
83;179
84;161
85;206
86;163
87;189
88;184
89;175
90;183
91;190
92;191
93;161
94;187
95;176
96;171
97;162
98;166
99;174
100;168
