0	110
1	108
2	150
3	111
4	112
5	128
6	110
7	131
8	140
9	192
10	131
11	99
12	161
13	302
14	175
15	265
16	121
17	216
18	240
19	156
20	157
21	342
22	142
23	149
24	98
25	158
26	136
27	163
28	143
29	153
30	139
31	131
32	143
33	199
34	177
35	136
36	164
37	130
38	184
39	156
40	221
41	248
42	226
43	196
44	163
45	245
46	198
47	167
48	174
49	231
50	183
51	170
52	137
53	191
54	200
55	219
56	159
57	207
58	200
59	229
60	149
61	216
62	188
63	196
64	159
65	189
66	167
67	151
68	174
69	274
70	197
71	175
72	183
73	192
74	176
75	158
76	127
77	132
78	149
79	102
80	130
81	136
82	190
83	128
84	162
85	179
86	158
87	174
88	113
89	149
90	134
91	90
92	137
93	157
94	127
95	112
96	101
97	119
98	112
99	158
