0	4
1	1
2	0
3	4
4	3
5	1
6	3
7	0
8	6
9	1
10	8
11	6
12	10
13	12
14	12
15	15
16	12
17	13
18	8
19	3
20	2
21	1
22	6
23	7
24	7
25	7
26	15
27	7
28	16
29	14
30	10
31	15
32	18
33	17
34	11
35	29
36	33
37	29
38	34
39	45
40	29
41	29
42	24
43	39
44	39
45	29
46	26
47	47
48	41
49	79
50	112
51	132
52	108
53	84
54	71
55	28
56	22
57	20
58	12
59	20
60	19
61	18
62	11
63	6
64	2
65	6
66	12
67	25
68	53
69	125
70	327
71	563
72	1041
73	1625
74	2119
75	2389
76	2197
77	1873
78	1200
79	770
80	377
81	168
82	77
83	39
84	12
85	4
86	6
87	3
88	0
89	2
90	3
91	1
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
