0;18
1;19
2;30
3;16
4;24
5;22
6;24
7;15
8;13
9;17
10;10
11;9
12;13
13;4
14;6
15;8
16;10
17;11
18;27
19;28
20;37
21;62
22;74
23;66
24;73
25;70
26;78
27;61
28;66
29;64
30;87
31;102
32;155
33;199
34;251
35;253
36;262
37;273
38;281
39;278
40;308
41;322
42;320
43;356
44;344
45;330
46;305
47;343
48;439
49;473
50;553
51;663
52;621
53;522
54;495
55;413
56;414
57;382
58;420
59;376
60;332
61;349
62;324
63;214
64;146
65;123
66;72
67;67
68;34
69;29
70;13
71;3
72;8
73;2
74;5
75;2
76;1
77;1
78;2
79;1
80;3
81;0
82;4
83;12
84;37
85;85
86;202
87;342
88;514
89;640
90;677
91;672
92;632
93;465
94;383
95;246
96;149
97;113
98;55
99;35
100;22
