0;136
1;188
2;194
3;189
4;170
5;197
6;189
7;201
8;172
9;187
10;157
11;195
12;202
13;203
14;184
15;175
16;200
17;187
18;202
19;214
20;181
21;200
22;183
23;178
24;169
25;210
26;180
27;199
28;201
29;194
30;191
31;203
32;189
33;181
34;166
35;193
36;175
37;191
38;161
39;187
40;160
41;178
42;185
43;188
44;180
45;166
46;181
47;191
48;194
49;174
50;201
51;200
52;158
53;193
54;178
55;175
56;190
57;192
58;190
59;190
60;163
61;214
62;203
63;178
64;181
65;182
66;201
67;202
68;176
69;175
70;148
71;198
72;188
73;179
74;159
75;181
76;196
77;179
78;192
79;164
80;142
81;172
82;158
83;193
84;180
85;153
86;178
87;163
88;195
89;202
90;217
91;180
92;180
93;167
94;187
95;163
96;196
97;166
98;178
99;172
100;192
